02-11 12:22:46.093 24127 24127 D SimplifiedCamera: Loading reference images for hybrid matching...
02-11 12:22:46.208 24127 24127 D SimplifiedCamera: Camera started successfully with image recognition
02-11 12:22:46.332 24127 24127 D SimplifiedCamera: Loaded 1 reference images
02-11 12:22:47.595 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:22:47.595 24127 24127 W SimplifiedCamera: MATCH DISCARDED: Found Sunrich Bottle BUT NO FACE DETECTED.
02-11 12:22:47.630 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:47.687 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:47.808 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:47.936 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:48.068 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:48.194 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:48.307 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:48.425 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:48.547 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:48.674 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:48.794 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:48.926 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:49.043 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:49.165 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:49.276 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:49.401 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:49.525 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:49.642 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:22:49.642 24127 24127 W SimplifiedCamera: MATCH DISCARDED: Found Sunrich Bottle BUT NO FACE DETECTED.
02-11 12:22:49.761 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:49.875 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:50.002 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:50.125 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:50.240 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:50.362 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:50.484 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:50.606 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:22:50.742 24127 24127 D SimplifiedCamera: Diagnostics: Face=false, Match=false
