02-11 12:43:48.399 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:48.446 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:48.489 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:43:48.491 32143 32143 I SimplifiedCamera: MATCH SUCCESS: Sunrich Bottle (Face detected: false)
02-11 12:43:48.492 32143 32143 D ConversationalARService: Object detected: sunrich, starting flow
02-11 12:43:48.592 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:48.902 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:48.955 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:49.116 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:49.211 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:49.335 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:49.448 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:49.569 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:49.677 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:49.796 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:49.923 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:50.049 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:50.251 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:50.365 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:50.438 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:50.530 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:50.654 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:50.769 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:50.901 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:51.061 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:51.134 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:51.269 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:51.404 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:51.499 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:51.630 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:51.709 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:51.781 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:51.842 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:43:51.842 32143 32143 I SimplifiedCamera: MATCH SUCCESS: Sunrich Bottle (Face detected: false)
02-11 12:43:51.895 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:51.950 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.005 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.050 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.097 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.148 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.195 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.242 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.304 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.361 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.424 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.472 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.524 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.576 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.629 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.682 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.732 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.784 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.830 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.892 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:52.950 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.004 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.062 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.121 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.172 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.223 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.286 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.352 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.403 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.452 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.535 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.598 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.655 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.708 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.771 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.827 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.921 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:53.983 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.034 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:43:54.034 32143 32143 I SimplifiedCamera: MATCH SUCCESS: Sunrich Bottle (Face detected: false)
02-11 12:43:54.086 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.134 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.183 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.228 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.273 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.323 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.376 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.424 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.469 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.516 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.558 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.603 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.646 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.714 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.761 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.807 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.854 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.898 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.946 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:54.990 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.053 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.103 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.159 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.211 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.260 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.317 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.368 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.417 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.473 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.525 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.574 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.624 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.673 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.727 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.782 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.831 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.881 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.929 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:55.977 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.023 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.072 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.123 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:43:56.123 32143 32143 I SimplifiedCamera: MATCH SUCCESS: Sunrich Bottle (Face detected: false)
02-11 12:43:56.167 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.211 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.256 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.301 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.348 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.393 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.436 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.485 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.531 32143 32143 D ConversationalARService: Video completed. Current state: PLAYING_INTRO
02-11 12:43:56.543 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.592  1199  4742 I SpeechRecognitionManagerServiceImpl: Client 10433 has opened 1 sessions
02-11 12:43:56.698 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.783 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.831 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.889 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:56.971 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.026 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.084 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.165 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.239 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.292 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.353 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.404 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.458 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.532 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.558 32143 32143 E SpeechRecognitionManager: onError: Insufficient permissions
02-11 12:43:57.604 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.658 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.723 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.789 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.847 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.898 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:57.954 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.031 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.082 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.138 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:43:58.138 32143 32143 I SimplifiedCamera: MATCH SUCCESS: Sunrich Bottle (Face detected: false)
02-11 12:43:58.202 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.267 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.323 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.373 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.422 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.469 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.522 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:43:58.547 32143 32143 D SpeechRecognitionManager: Silence detected for 2000ms
